"","month","Arrival_Departure","FlightOpsCount"
"1","January","Arrival",23152
"2","January","Departure",23173
"3","February","Arrival",20849
"4","February","Departure",20878
"5","March","Arrival",23981.5
"6","March","Departure",24005
"7","April","Arrival",23393
"8","April","Departure",23451.5
"9","May","Arrival",24342.5
"10","May","Departure",24376
"11","June","Arrival",24622.5
"12","June","Departure",24667
"13","July","Arrival",25795.5
"14","July","Departure",25837
"15","August","Arrival",25573.5
"16","August","Departure",25600
"17","September","Arrival",23306
"18","September","Departure",23315
"19","October","Arrival",23965
"20","October","Departure",23990
"21","November","Arrival",22379
"22","November","Departure",22361
"23","December","Arrival",23594
"24","December","Departure",23579
